player,league,team,country
S. Musah,1. Deild,TB,Faroe Islands
M. Bediako,1. Deild,TB,Faroe Islands
M. Adams,Veikkausliiga,Honka,Finland
E. Oteng,Veikkausliiga,Ilves,Finland
C. Antwi,Veikkausliiga,KuPS,Finland
J. Arthur,Veikkausliiga,SJK,Finland
M. Abubakari,Veikkausliiga,Mariehamn,Finland
K. Ofori,Veikkausliiga,SJK,Finland
B. Mensah,Veikkausliiga,Mariehamn,Finland
E. Arko-Mensah,Veikkausliiga,Honka,Finland
N. Banahene,Veikkausliiga,Honka,Finland
K. Ofori,Ykkönen,SJK Akatemia,Finland
S. Babawo,Ykkönen,PIF,Finland
T. Agyiri,Ykkönen,KTP,Finland
J. Arthur,Ykkönen,SJK Akatemia,Finland
E. Oteng,Kakkonen,Ilves II,Finland
N. Banahene,Kakkonen,Honka Akatemia,Finland
S. Babawo,Kakkonen,PIF,Finland
J. Arthur,Kakkonen,SJK Akatemia,Finland
K. Ofori,Kakkonen,SJK Akatemia,Finland
B. Andoh,Kolmonen,Kultsu,Finland
B. Osei,Erovnuli Liga,Dinamo Tbilisi,Georgia
A. Frimpong,Erovnuli Liga,Dinamo Batumi,Georgia
E. Ocran,Premier Division,Lincoln Red Imps,Gibraltar
I. Ayew,Premier Division,Europa,Gibraltar
F. Seid,Premier Division,College 1975,Gibraltar
M. Yahaya,Premier Division,Lincoln Red Imps,Gibraltar
L. Agbenyenu,Super League 1,Aris,Greece
R. Chibsah,Super League 1,Apollon Smirnis,Greece
M. Asigba,Super League 2,Irodotos,Greece
K. Fobi,Super League 2,Chania,Greece
A. Tetteh,Super League 2,Kifisia,Greece
S. Hammond,Super League 2,Levadiakos,Greece
E. Addo,Super League 2,Asteras Vlachioti,Greece
I. Baidoo,Super League 2,Veria,Greece
O. Quaye,Super League 2,Asteras Vlachioti,Greece
C. Kwateng,Super League 2,Veria,Greece
K. Abankwa,Super League 2,Asteras Vlachioti,Greece
D. Argilesi,Super League 2,Irodotos,Greece
